,Statement Description
1151, tangible assets
1152,X.509 certificate format
1153, Name Constraints extension
1154, Certification Path
1155, Subject
1156, Certificate Policy
1157, Policy Mapping
1158, Certification Authority (CA)
1159, Path Length
1160,Software engineering
1161, Computer science
1162, Programming
1163,Administrative security principles
1164, Security management concepts
1165, Information security fundamentals
1166,knowledge of elliptic curves
1167, understanding of finite abelian groups
1168, familiarity with modular arithmetic
1169,Linear Feedback Shift Register
1170, Stream cipher principles
1171,software security
1172, defect density
1173, lines of code
1174,knowledge of computer worm history
1175, understanding of email distribution methods
1176, awareness of late September 2000 timeframe
1177,cybersecurity fundamentals
1178, monitoring processes
1179, alarm systems
1180, access control
1181,Email security
1182, Phishing awareness
1183, Cybersecurity practices
1184,Phishing attack methods
1185, Common cybersecurity threats and vectors
1186,knowledge of cybersecurity
1187, understanding of online safety measures
1188, awareness of law enforcement roles in cybersecurity
1189,Knowledge of computer security
1190, Understanding of RF signals
1191, Awareness of computer crime types
1192,knowledge of security systems
1193, intrusion detection systems
1194, fencing techniques
1195, PIDAS system
1196,Network fundamentals
1197, Carrier frequency concepts
1198, Transmission methods in networking
1199,Operating systems
1200, Memory management
1201, W⊕X memory policy
1202, Kernel space
1203, User space
1204, Execution and memory segregation
1205,Remote attestation
1206, Embedded systems security
1207, Malware detection
1208, Software based attestation
1209, Firmware based attestation
1210, Hardware assisted attestation
1211, Hybrid attestation
1212,wireless network security
1213, encryption protocols
1214, cybersecurity attacks
1215,Database Management Systems
1216, Data Relationships
1217, Database Models
1218,authentication protocols
1219, challenge response mechanism
1220, one way encryption
1221, dial up connections
1222,RIR systems
1223, Geographical distribution of RIRs
1224,Knowledge of Claude Shannon
1225, Understanding of cryptography
1226, Definition of work function in cryptography
1227,wireless communication security
1228, email security
1229, cybersecurity threats
1230, wireless network vulnerabilities
1231,knowledge of cybersecurity principles
1232, understanding of CIA triad (confidentiality
1233, integrity
1234, availability)
1235, familiarity with system maintenance practices
1236, experience with security assessments
1237,knowledge of physical access requirements for installing hardware devices
1238, understanding of different methods of accessing computer systems
1239, awareness of typical security measures like admin passwords
1240,Knowledge of ISO 17799 standards
1241, Understanding of system security practices
1242,cybersecurity
1243, types of cyber attacks
1244, network security
1245,knowledge of LUCIFER block cipher
1246, understanding of cryptographic transformations
1247,Knowledge of telecommunications standards
1248, Understanding of ITU T standards
1249,Cryptography basics
1250, Encryption concepts
1251,Keypad access control systems
1252, Security systems
1253, Access control technologies
1254, Tamper resistance
1255, Duplication prevention
1256,network protocols
1257, LAN operations
1258, protocol analysis techniques
1259,knowledge of cybersecurity principles
1260, understanding of system security
1261, awareness of security threats
1262, familiarity with security measures
1263,Biometrics
1264, Population characteristics
1265,cybersecurity concepts
1266, common security measures
1267,knowledge of computer hardware
1268, understanding of data recovery processes
1269, experience with computer forensics
1270,Computer forensics
1271, Data preservation
1272, Evidence recovery
1273, Data analysis
1274, Observation interpretation
1275,Network security concepts
1276, Types of network security devices
1277,Understanding of microservices architecture
1278, Knowledge of independent deployment concepts
1279, Awareness of self contained functions
1280, Familiarity with monolithic architectures
1281, Experience with serverless computing
1282,knowledge of sensor technology
1283, understanding of signal integrity
1284, awareness of security in sensor networks
1285,knowledge of cybersecurity
1286, understanding of honeypots types
1287,Security concepts
1288, Threat agents
1289, Bypass techniques
